기준_년분기_코드,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20254,11740,강동구,11740700,둔촌2동,6419131,2978649,3440482,1227181,725811,959328,1018460,933755,1554597,1780050,1362418,725131,701540,1000801,849191,917060,910329,918759,909647,912575,910150,940610
20254,11740,강동구,11740690,둔촌1동,29398,13580,15819,6767,2325,4159,5594,3731,6824,8242,6294,3270,3184,4561,3847,4120,4125,4147,4149,4183,4284,4391
20254,11740,강동구,11740685,길동,18073434,8191172,9882261,2453568,2170829,2912958,2965881,2847212,4722988,4847566,3640353,2064324,2076482,3011274,2433431,2550715,2551044,2557744,2563428,2573696,2624616,2652190
20254,11740,강동구,11740660,성내3동,6724834,3130366,3594470,949374,868523,1106224,1173101,1035931,1591682,1872198,1357328,759617,753513,1088420,893759,940667,939624,952218,949311,958856,979267,1004890
20254,11740,강동구,11740650,성내2동,8151201,3790361,4360842,1125335,1085573,1470237,1283687,1175091,2011277,2267994,1649461,890040,908677,1348054,1086976,1139218,1126725,1136576,1141519,1147579,1219143,1240443
20254,11740,강동구,11740640,성내1동,5545995,2509493,3036500,994391,611584,855915,944137,868997,1270971,1437345,1161304,693244,676271,890683,687147,804647,802529,810679,807379,805067,753642,762050
20254,11740,강동구,11740620,천호3동,7473454,3508030,3965423,919586,1130735,1409241,1150274,1089443,1774174,2141985,1529259,801018,796201,1185626,1019365,1043966,1036107,1045765,1053628,1054428,1106826,1132733
20254,11740,강동구,11740610,천호2동,10996301,5186499,5809801,1380439,1357854,1922051,1804050,1740536,2791372,2877023,2230403,1284488,1315449,1848834,1440104,1537445,1534376,1545847,1554091,1565378,1623378,1635785
20254,11740,강동구,11740600,천호1동,10130717,4728455,5402261,1687576,1082291,1492087,1702581,1565714,2600466,2874385,2100123,1114619,1113413,1584291,1343884,1443354,1434449,1432069,1438594,1431181,1457341,1493729
20254,11740,강동구,11740590,암사3동,1711324,810207,901117,411870,162319,230028,287657,245405,374045,476863,385666,191212,180107,253737,223738,245891,245846,247422,245784,246508,238436,241439
20254,11740,강동구,11740580,암사2동,2217375,1042290,1175086,317259,257399,392158,387332,357288,505940,605739,446308,244744,252492,372641,295452,308801,305078,308261,309842,316206,335218,333968
