자치구_코드_명,행정동_코드_명,카테고리,기준_년분기_코드,자치구_코드,행정동_코드,점포_수,유사_카테고리_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,개업_율,폐업_률,동_총_점포_수
강남구,개포1동,교육,20254,11680,11680660,29,31,0,0,2,0.0,0.0,180
강남구,개포1동,생활/홈인테리어,20254,11680,11680660,11,11,0,2,0,0.0,0.18181818181818182,180
강남구,개포1동,생활서비스,20254,11680,11680660,29,30,0,0,1,0.0,0.0,180
강남구,개포1동,숙박/부동산,20254,11680,11680660,40,40,0,1,0,0.0,0.025,180
강남구,개포1동,식품/식재료,20254,11680,11680660,13,17,0,0,4,0.0,0.0,180
강남구,개포1동,오락/여가,20254,11680,11680660,2,2,0,0,0,0.0,0.0,180
강남구,개포1동,외식/F&B,20254,11680,11680660,10,10,0,0,0,0.0,0.0,180
강남구,개포1동,의료/건강,20254,11680,11680660,5,6,1,0,1,0.2,0.0,180
강남구,개포1동,자동차/이동수단,20254,11680,11680660,3,3,0,0,0,0.0,0.0,180
강남구,개포1동,전자/디지털,20254,11680,11680660,16,16,0,1,0,0.0,0.0625,180
강남구,개포1동,패션/뷰티,20254,11680,11680660,22,23,0,1,1,0.0,0.045454545454545456,180
강남구,개포2동,교육,20254,11680,11680670,185,198,8,4,13,0.043243243243243246,0.021621621621621623,907
강남구,개포2동,생활/홈인테리어,20254,11680,11680670,27,27,0,0,0,0.0,0.0,907
강남구,개포2동,생활서비스,20254,11680,11680670,93,104,0,2,11,0.0,0.021505376344086023,907
강남구,개포2동,숙박/부동산,20254,11680,11680670,177,178,0,4,1,0.0,0.022598870056497175,907
강남구,개포2동,식품/식재료,20254,11680,11680670,73,91,4,6,18,0.0547945205479452,0.0821917808219178,907
강남구,개포2동,오락/여가,20254,11680,11680670,31,33,0,0,2,0.0,0.0,907
강남구,개포2동,외식/F&B,20254,11680,11680670,123,167,3,3,44,0.024390243902439025,0.024390243902439025,907
강남구,개포2동,의료/건강,20254,11680,11680670,92,94,0,2,2,0.0,0.021739130434782608,907
강남구,개포2동,자동차/이동수단,20254,11680,11680670,6,6,0,0,0,0.0,0.0,907
강남구,개포2동,전문서비스,20254,11680,11680670,10,10,0,0,0,0.0,0.0,907
강남구,개포2동,전자/디지털,20254,11680,11680670,46,46,0,0,0,0.0,0.0,907
강남구,개포2동,패션/뷰티,20254,11680,11680670,44,46,1,0,2,0.022727272727272728,0.0,907
강남구,개포4동,교육,20254,11680,11680690,119,125,3,3,6,0.025210084033613446,0.025210084033613446,1338
강남구,개포4동,생활/홈인테리어,20254,11680,11680690,127,127,0,0,0,0.0,0.0,1338
강남구,개포4동,생활서비스,20254,11680,11680690,228,239,2,1,11,0.008771929824561403,0.0043859649122807015,1338
강남구,개포4동,숙박/부동산,20254,11680,11680690,114,114,0,1,0,0.0,0.008771929824561403,1338
강남구,개포4동,식품/식재료,20254,11680,11680690,105,131,1,5,26,0.009523809523809525,0.047619047619047616,1338
강남구,개포4동,오락/여가,20254,11680,11680690,50,50,2,0,0,0.04,0.0,1338
강남구,개포4동,외식/F&B,20254,11680,11680690,183,237,6,10,54,0.03278688524590164,0.0546448087431694,1338
강남구,개포4동,의료/건강,20254,11680,11680690,95,97,0,1,2,0.0,0.010526315789473684,1338
강남구,개포4동,자동차/이동수단,20254,11680,11680690,32,32,0,1,0,0.0,0.03125,1338
강남구,개포4동,전문서비스,20254,11680,11680690,15,15,0,1,0,0.0,0.06666666666666667,1338
강남구,개포4동,전자/디지털,20254,11680,11680690,125,125,0,12,0,0.0,0.096,1338
강남구,개포4동,패션/뷰티,20254,11680,11680690,145,146,2,1,1,0.013793103448275862,0.006896551724137931,1338
강남구,논현1동,교육,20254,11680,11680521,176,179,4,2,3,0.022727272727272728,0.011363636363636364,4061
강남구,논현1동,생활/홈인테리어,20254,11680,11680521,299,300,3,4,1,0.010033444816053512,0.013377926421404682,4061
강남구,논현1동,생활서비스,20254,11680,11680521,719,727,14,10,8,0.019471488178025034,0.013908205841446454,4061
강남구,논현1동,숙박/부동산,20254,11680,11680521,393,393,0,0,0,0.0,0.0,4061
강남구,논현1동,식품/식재료,20254,11680,11680521,191,260,8,8,69,0.041884816753926704,0.041884816753926704,4061
강남구,논현1동,오락/여가,20254,11680,11680521,106,113,3,4,7,0.02830188679245283,0.03773584905660377,4061
강남구,논현1동,외식/F&B,20254,11680,11680521,863,1051,43,28,188,0.04982618771726535,0.03244495944380069,4061
강남구,논현1동,의료/건강,20254,11680,11680521,466,468,12,7,2,0.02575107296137339,0.015021459227467811,4061
강남구,논현1동,자동차/이동수단,20254,11680,11680521,20,20,0,1,0,0.0,0.05,4061
강남구,논현1동,전문서비스,20254,11680,11680521,168,168,0,0,0,0.0,0.0,4061
강남구,논현1동,전자/디지털,20254,11680,11680521,209,209,2,7,0,0.009569377990430622,0.03349282296650718,4061
강남구,논현1동,패션/뷰티,20254,11680,11680521,451,457,10,8,6,0.022172949002217297,0.017738359201773836,4061
강남구,논현2동,교육,20254,11680,11680531,214,217,6,4,3,0.028037383177570093,0.018691588785046728,4290
강남구,논현2동,생활/홈인테리어,20254,11680,11680531,261,261,2,4,0,0.007662835249042145,0.01532567049808429,4290
강남구,논현2동,생활서비스,20254,11680,11680531,795,815,6,8,20,0.007547169811320755,0.010062893081761006,4290
강남구,논현2동,숙박/부동산,20254,11680,11680531,346,347,0,8,1,0.0,0.023121387283236993,4290
강남구,논현2동,식품/식재료,20254,11680,11680531,173,251,3,10,78,0.017341040462427744,0.057803468208092484,4290
강남구,논현2동,오락/여가,20254,11680,11680531,86,91,1,5,5,0.011627906976744186,0.05813953488372093,4290
강남구,논현2동,외식/F&B,20254,11680,11680531,1000,1207,30,33,207,0.03,0.033,4290
강남구,논현2동,의료/건강,20254,11680,11680531,309,312,4,2,3,0.012944983818770227,0.006472491909385114,4290
강남구,논현2동,자동차/이동수단,20254,11680,11680531,24,24,0,0,0,0.0,0.0,4290
강남구,논현2동,전문서비스,20254,11680,11680531,262,262,1,0,0,0.003816793893129771,0.0,4290
강남구,논현2동,전자/디지털,20254,11680,11680531,254,254,2,12,0,0.007874015748031496,0.047244094488188976,4290
강남구,논현2동,패션/뷰티,20254,11680,11680531,566,576,6,8,10,0.01060070671378092,0.014134275618374558,4290
강남구,대치1동,교육,20254,11680,11680600,393,409,5,5,16,0.01272264631043257,0.01272264631043257,1011
강남구,대치1동,생활/홈인테리어,20254,11680,11680600,18,18,1,0,0,0.05555555555555555,0.0,1011
강남구,대치1동,생활서비스,20254,11680,11680600,72,85,4,3,13,0.05555555555555555,0.041666666666666664,1011
강남구,대치1동,숙박/부동산,20254,11680,11680600,124,124,0,1,0,0.0,0.008064516129032258,1011
강남구,대치1동,식품/식재료,20254,11680,11680600,36,62,2,2,26,0.05555555555555555,0.05555555555555555,1011
강남구,대치1동,오락/여가,20254,11680,11680600,36,40,3,0,4,0.08333333333333333,0.0,1011
강남구,대치1동,외식/F&B,20254,11680,11680600,90,136,3,6,46,0.03333333333333333,0.06666666666666667,1011
강남구,대치1동,의료/건강,20254,11680,11680600,146,147,1,1,1,0.00684931506849315,0.00684931506849315,1011
강남구,대치1동,자동차/이동수단,20254,11680,11680600,4,4,0,0,0,0.0,0.0,1011
강남구,대치1동,전문서비스,20254,11680,11680600,15,15,0,0,0,0.0,0.0,1011
강남구,대치1동,전자/디지털,20254,11680,11680600,25,25,1,0,0,0.04,0.0,1011
강남구,대치1동,패션/뷰티,20254,11680,11680600,52,54,0,0,2,0.0,0.0,1011
강남구,대치2동,교육,20254,11680,11680610,505,525,5,7,20,0.009900990099009901,0.013861386138613862,2782
강남구,대치2동,생활/홈인테리어,20254,11680,11680610,108,108,8,1,0,0.07407407407407407,0.009259259259259259,2782
강남구,대치2동,생활서비스,20254,11680,11680610,285,297,5,8,12,0.017543859649122806,0.028070175438596492,2782
강남구,대치2동,숙박/부동산,20254,11680,11680610,305,305,1,5,0,0.003278688524590164,0.01639344262295082,2782
강남구,대치2동,식품/식재료,20254,11680,11680610,189,240,10,10,51,0.05291005291005291,0.05291005291005291,2782
강남구,대치2동,오락/여가,20254,11680,11680610,92,104,1,1,12,0.010869565217391304,0.010869565217391304,2782
강남구,대치2동,외식/F&B,20254,11680,11680610,445,574,17,27,129,0.038202247191011236,0.060674157303370786,2782
강남구,대치2동,의료/건강,20254,11680,11680610,156,160,0,0,4,0.0,0.0,2782
강남구,대치2동,자동차/이동수단,20254,11680,11680610,21,21,0,0,0,0.0,0.0,2782
강남구,대치2동,전문서비스,20254,11680,11680610,181,181,1,2,0,0.0055248618784530384,0.011049723756906077,2782
강남구,대치2동,전자/디지털,20254,11680,11680610,150,150,1,7,0,0.006666666666666667,0.04666666666666667,2782
강남구,대치2동,패션/뷰티,20254,11680,11680610,345,356,3,12,11,0.008695652173913044,0.034782608695652174,2782
강남구,대치4동,교육,20254,11680,11680630,1056,1085,34,25,29,0.032196969696969696,0.023674242424242424,3682
강남구,대치4동,생활/홈인테리어,20254,11680,11680630,97,98,3,2,1,0.030927835051546393,0.020618556701030927,3682
강남구,대치4동,생활서비스,20254,11680,11680630,339,364,8,7,25,0.02359882005899705,0.02064896755162242,3682
강남구,대치4동,숙박/부동산,20254,11680,11680630,371,372,0,9,1,0.0,0.02425876010781671,3682
강남구,대치4동,식품/식재료,20254,11680,11680630,126,175,2,2,49,0.015873015873015872,0.015873015873015872,3682
강남구,대치4동,오락/여가,20254,11680,11680630,150,162,9,4,12,0.06,0.02666666666666667,3682
강남구,대치4동,외식/F&B,20254,11680,11680630,648,864,27,25,216,0.041666666666666664,0.038580246913580245,3682
강남구,대치4동,의료/건강,20254,11680,11680630,162,166,2,1,4,0.012345679012345678,0.006172839506172839,3682
강남구,대치4동,자동차/이동수단,20254,11680,11680630,20,20,0,0,0,0.0,0.0,3682
강남구,대치4동,전문서비스,20254,11680,11680630,177,177,0,1,0,0.0,0.005649717514124294,3682
강남구,대치4동,전자/디지털,20254,11680,11680630,115,115,0,4,0,0.0,0.034782608695652174,3682
강남구,대치4동,패션/뷰티,20254,11680,11680630,421,429,1,13,8,0.0023752969121140144,0.030878859857482184,3682
강남구,도곡1동,교육,20254,11680,11680655,154,160,9,1,6,0.05844155844155844,0.006493506493506494,1288
강남구,도곡1동,생활/홈인테리어,20254,11680,11680655,64,64,2,2,0,0.03125,0.03125,1288
강남구,도곡1동,생활서비스,20254,11680,11680655,189,201,3,3,12,0.015873015873015872,0.015873015873015872,1288
강남구,도곡1동,숙박/부동산,20254,11680,11680655,119,119,1,1,0,0.008403361344537815,0.008403361344537815,1288
강남구,도곡1동,식품/식재료,20254,11680,11680655,71,101,2,2,30,0.028169014084507043,0.028169014084507043,1288
