기준_년도,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,카테고리,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
2025,11110,종로구,11110515,청운효자동,CS100001,한식음식점,외식/F&B,4240480160,117126,3126073318,1114406842,546831397,485237382,719223304,655787162,718994073,704846013,409560829,61381507,56028515,1762003441,552791509,1424295494,383979694,1799045105,1467218669,12727980,453626758,770434944,574760933,787393652,667319523,84872,32254,15880,14349,19213,16939,18491,19449,12805,399,2120,61615,21009,28787,3196,54878,48884,727,16401,25265,20193,22798,18368
2025,11110,종로구,11110515,청운효자동,CS100003,일식음식점,외식/F&B,394187641,11650,276447465,117740176,25154445,59436815,57742569,55624436,78489200,73519490,44220686,17770053,0,127221112,45252624,107840586,96103266,162242875,192796514,5588343,95555563,130469193,64373907,43264560,15787827,8769,2881,892,1884,2171,1734,2088,1827,1054,119,0,6687,2326,1709,809,4883,6035,369,2775,3182,1888,1903,804
2025,11110,종로구,11110515,청운효자동,CS100004,양식음식점,외식/F&B,2676952420,49325,1802105420,874847000,183912217,263014018,398447224,419189998,537541963,546077682,328769318,23025560,43855279,760147976,483929885,983882006,382111714,843578608,1417070522,14297297,571051893,778748128,337863023,356032415,202656382,31384,17941,3662,5371,7372,7132,7847,10109,7832,156,2796,17128,12366,14696,2183,15326,30622,469,12374,14786,7729,7044,3552
2025,11110,종로구,11110515,청운효자동,CS100005,제과점,외식/F&B,590980955,37242,385654049,205326906,49651955,62737901,107489825,84329046,81445322,116745587,88581319,0,27660775,146224170,195135521,198150584,23809905,189290061,319261776,3002751,79492156,125163227,103294965,116935369,80663370,22681,14561,3046,4051,5825,4768,4991,7784,6777,0,2606,10303,14522,9503,308,12720,23472,413,6696,9374,6920,8008,4781
2025,11110,종로구,11110515,청운효자동,CS100007,치킨전문점,외식/F&B,128519906,3813,85764548,42755358,9130085,14855598,17218829,18443125,26116911,24544803,18210555,2690897,0,13003531,17313745,67836935,27674798,66275952,46402458,1343097,10915454,22764774,23833145,30527223,23294717,2645,1168,198,453,597,576,821,656,512,46,0,465,538,2092,672,2044,1489,48,447,689,780,924,650
2025,11110,종로구,11110515,청운효자동,CS100008,분식전문점,외식/F&B,311915262,27686,209235073,102680189,36552395,29474040,50185344,43890800,49132494,51619756,51060433,0,18409967,147340086,76453755,69670014,41440,91776335,191363990,5535615,77416609,86478216,50974859,43521323,19213705,19137,8549,3194,3077,4021,4140,4705,4387,4162,0,1652,13733,6458,5839,4,8511,17984,532,6693,8732,4563,4344,1629
2025,11110,종로구,11110515,청운효자동,CS100009,호프-간이주점,외식/F&B,187851676,4407,119558140,68293536,10521323,22665753,25065320,23936257,37369487,38896742,29396794,27028056,308949,8098232,10642691,45403832,96369916,73459237,100546470,609438,56643590,55285971,27458409,23026261,10982041,2764,1643,348,573,550,549,744,905,738,309,51,813,705,971,1558,1716,2444,26,1216,1259,682,704,267
2025,11110,종로구,11110515,청운효자동,CS100010,커피-음료,외식/F&B,4724282512,340786,2941978790,1782303722,443801611,560307329,666400642,620405087,651064121,961978034,820325688,2319501,457073861,1568177169,1802361433,839948375,54402173,1372331941,3076207236,58085723,1530349399,1341697738,597701215,613715033,306990070,224580,116206,32438,43554,52409,47170,49009,63817,52389,78,51488,110429,123205,54323,1263,108566,218295,4175,96533,99322,51586,54025,21223
2025,11110,종로구,11110515,청운효자동,CS200001,일반교습학원,교육,137618399,452,131005208,6613191,41847961,33065953,46034986,7964258,2092050,0,6613191,0,0,6192469,8705241,118549957,4170732,26534961,111083438,0,0,0,115492232,22126167,0,408,44,104,88,147,60,9,0,44,0,0,16,53,368,15,155,297,0,0,0,339,113,0
2025,11110,종로구,11110515,청운효자동,CS200005,스포츠 강습,교육,75714016,337,75714016,0,19336496,20364653,20780068,0,15232799,0,0,0,0,0,22000000,49891991,3822025,15499269,60214747,0,2610402,5495584,55886539,11721491,0,337,0,97,83,75,0,82,0,0,0,0,0,63,253,21,100,237,0,13,27,215,82,0
2025,11110,종로구,11110515,청운효자동,CS200006,일반의원,의료/건강,725125444,47824,603839037,121286407,146329712,106659144,91727325,104800604,154322252,121286407,0,0,220646714,198435970,219534658,86508102,0,288016834,437108610,6838421,26102253,115747752,240390362,138711228,197335428,41422,6402,9971,8361,6895,7280,8915,6402,0,0,12363,12615,14932,7914,0,19790,28034,662,1727,7966,14383,8927,14159
2025,11110,종로구,11110515,청운효자동,CS200007,치과의원,의료/건강,57453235,508,56285339,1167896,6601652,8933594,1271829,18313713,21164551,1167896,0,0,5722458,27859357,14590614,9280806,0,45935910,11517325,0,851959,7113976,1013152,19085424,29388724,484,24,114,115,31,77,147,24,0,0,91,123,256,38,0,311,197,0,31,110,23,243,101
2025,11110,종로구,11110515,청운효자동,CS200026,자동차미용,자동차/이동수단,223859039,1892,183196642,40662397,23776067,49398536,29676135,36121009,44224895,40662397,0,0,40537008,75504972,61672874,46144185,0,106386434,36782402,0,1449784,14313418,32147497,56653036,38605099,1619,273,334,409,337,222,317,273,0,0,396,621,592,283,0,911,452,0,12,167,278,515,389
2025,11110,종로구,11110515,청운효자동,CS200028,미용실,패션/뷰티,289187399,8155,208635246,80552153,35871757,30705241,53262333,42435972,46359943,54388968,26163185,0,13723609,85409411,106285906,83154038,614435,116677225,171676256,2963090,9885426,27956441,64211729,105435636,77901159,5939,2216,1040,841,1397,1120,1541,1440,776,0,560,2446,2845,2278,26,4377,3759,157,450,845,1793,2636,2255
2025,11110,종로구,11110515,청운효자동,CS200030,피부관리실,패션/뷰티,7272699,7,7272699,0,0,7272699,0,0,0,0,0,0,0,0,0,0,7272699,0,7272699,0,0,0,0,0,7272699,7,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7
2025,11110,종로구,11110515,청운효자동,CS200031,세탁소,생활서비스,84967491,3614,72164554,12802937,16291185,12063996,15531628,11018373,17259372,12802937,0,0,10481220,24383945,31705447,18396879,0,32995197,48738991,0,3222273,10201195,19686097,22824447,25800178,3088,526,662,593,746,477,610,526,0,0,501,984,1333,796,0,1551,1974,0,117,463,893,960,1091
2025,11110,종로구,11110515,청운효자동,CS200032,가전제품수리,생활서비스,24357071,603,23693649,663422,3317111,1421619,18954919,0,0,663422,0,0,0,23409325,947746,0,0,4264857,1137295,0,0,1800717,0,0,3601435,517,86,87,172,258,0,0,86,0,0,0,259,344,0,0,258,86,0,0,172,0,0,172
2025,11110,종로구,11110515,청운효자동,CS300001,슈퍼마켓,식품/식재료,1770739143,159620,1232414471,538324672,234753006,236006819,265602791,227863979,268187876,321824432,216500240,1715818,205519467,321929477,520761799,573240335,147572247,805050253,796621309,7453040,111563059,285394013,267265237,367775921,562220296,113000,46620,20997,21060,24981,21708,24254,26156,20464,269,16637,29076,40320,57972,15346,79978,73573,1588,10331,29115,27048,37132,48337
2025,11110,종로구,11110515,청운효자동,CS300002,편의점,식품/식재료,996270825,151891,730655865,265614960,139994492,140395100,150393355,148241466,151631452,137498287,128116673,39578695,216910263,169265388,156130470,269888236,144497773,579999466,329447572,17677860,110928689,262132401,196201194,203219329,119287567,111266,40625,21661,21103,23117,22893,22492,20075,20550,5224,35665,27966,24955,38970,19111,93565,50989,4235,20777,42542,29258,30715,17028
2025,11110,종로구,11110515,청운효자동,CS300006,미곡판매,식품/식재료,30283479,331,30283479,0,12328520,5543697,0,12411262,0,0,0,0,12411262,12328520,5543697,0,0,19196085,11087394,0,0,0,0,0,30283479,331,0,165,83,0,83,0,0,0,0,82,166,83,0,0,165,166,0,0,0,0,0,331
2025,11110,종로구,11110515,청운효자동,CS300007,육류판매,식품/식재료,484064061,10087,333911283,150152778,40241981,106510634,96446005,64294756,26417907,95861640,54291138,0,59820654,91059943,118456287,214727177,0,145664415,310263970,0,3334768,40020554,158840661,57258841,196473561,6756,3331,1039,1687,1904,1284,842,2059,1272,0,1335,1785,3300,3667,0,3937,5581,0,171,1152,1520,1678,4996
2025,11110,종로구,11110515,청운효자동,CS300008,수산물판매,식품/식재료,77937390,2963,59110559,18826831,10034912,14649284,11947880,10129168,12349315,13183702,5643129,0,14415649,23493666,31826688,8201387,0,18930518,46106187,0,439234,7224395,7683802,12119824,37569448,2262,701,398,363,510,429,562,479,222,0,495,811,1193,464,0,842,1907,0,27,274,307,583,1559
2025,11110,종로구,11110515,청운효자동,CS300009,청과상,식품/식재료,798955759,47751,597474751,201481008,111252541,128176842,111269376,104187222,142588770,148613455,52867553,0,104445898,229696915,257050383,206251100,1511463,222198145,562409970,2063891,15428372,63472871,161897472,219763562,321981947,34939,12812,6625,5317,7644,6891,8462,8319,4493,0,5793,12426,17405,11996,131,15107,31958,259,1519,4762,8237,14141,18146
2025,11110,종로구,11110515,청운효자동,CS300010,반찬가게,식품/식재료,224675559,12333,177832596,46842963,11103203,0,98735268,41591444,26402681,21216708,25626255,0,3336432,132765899,60580284,27992944,0,108305909,106103366,64265094,32223491,9663687,37024015,37050097,34182891,7487,4846,569,0,3143,1989,1786,2476,2370,0,667,4924,4657,2085,0,4964,6870,644,950,998,3492,2480,3269
2025,11110,종로구,11110515,청운효자동,CS300011,일반의류,패션/뷰티,976257683,8059,584504883,391752800,18934369,63216974,118740680,158165371,225447489,195167879,196584921,0,122025,153866723,488470090,326870958,6927887,243751722,703051210,2082152,129661788,333394005,201555750,199790206,80319032,4485,3574,165,446,1207,1390,1277,1753,1821,0,2,1401,4237,2374,45,2042,5832,51,1417,2525,1670,1563,644
2025,11110,종로구,11110515,청운효자동,CS300014,신발,패션/뷰티,24000000,463,12588332,11411668,618225,2343054,3480922,2963790,3182341,5956590,5455078,0,13713,4844975,10520434,8620878,0,4064703,19096116,140983,7626778,9778819,2163562,2149694,1300982,253,210,10,50,67,55,71,113,97,0,0,79,215,169,0,68,388,4,192,167,44,36,12
2025,11110,종로구,11110515,청운효자동,CS300017,시계및귀금속,패션/뷰티,2000000,22,1190886,809114,287089,376066,268645,259086,0,195079,614035,0,0,371291,566159,1062550,0,0,2000000,0,167813,453854,0,1011052,367281,15,7,2,4,5,4,0,5,2,0,0,5,7,10,0,0,22,0,4,6,0,9,3
2025,11110,종로구,11110515,청운효자동,CS300018,의약품,의료/건강,897945730,63524,762392849,135552881,164401828,153583859,133797593,132340506,178269063,129740826,5812055,0,159288453,247380395,327894244,163382638,0,353957120,468709933,2006807,26731554,103126816,168763805,156030115,366007957,54585,8939,12136,11142,9649,10282,11376,8646,293,0,12618,17133,20575,13198,0,26286,36444,431,4028,11038,15549,12221,19463
2025,11110,종로구,11110515,청운효자동,CS300027,섬유제품,생활/홈인테리어,59459033,1948,56513593,2945440,0,30370592,0,16078456,10064545,0,2945440,0,1677424,41889010,14683220,1209379,0,10098052,49360981,0,0,1472720,6297147,43179537,8509629,1644,304,0,183,0,911,550,0,304,0,183,759,975,31,0,518,1430,0,0,304,487,607,550
2025,11110,종로구,11110515,청운효자동,CS300028,화초,생활/홈인테리어,247580168,6128,113822802,133757366,12694532,21352470,18512332,20357538,40905930,78838455,54918911,0,19026778,69331220,90689473,68532697,0,89006840,131344900,1590189,52216857,78462150,27971102,25394480,34716962,3302,2826,363,591,545,602,1201,1551,1275,0,366,1420,2554,1788,0,2407,3421,44,1916,2093,632,551,590
2025,11110,종로구,11110515,청운효자동,CS300035,인테리어,생활/홈인테리어,206700645,9042,193249519,13451126,29947333,28926257,86125194,24887588,23363147,12471906,979220,0,39848637,67164689,78884378,20802941,0,83660101,19429135,94315,28051514,14380875,16975277,11973030,31614222,7802,1240,1299,1585,1637,1673,1608,1054,186,0,2524,3106,2528,884,0,4724,1573,33,193,1468,1030,1048,2522
2025,11110,종로구,11110530,사직동,CS100001,한식음식점,외식/F&B,43583074021,938105,34015990446,9567083575,5858401817,6599564786,7506896102,7032169561,7018958180,5569932578,3997150997,357379009,405514327,16545864717,4745921216,17001038446,4527356306,17223696519,13654250746,108890077,3955408193,7359669772,6706776427,6547219246,6199983525,761111,176994,140433,147603,166759,152056,154260,100857,76137,5373,17906,491947,104584,270319,47976,407328,381423,5027,114696,195600,174197,164048,135197
2025,11110,종로구,11110530,사직동,CS100002,중식음식점,외식/F&B,3831896771,65949,3127464535,704432236,575416017,568328111,713040453,647228484,623451470,382722582,321709654,7252968,1713768,1835401488,370524311,1356758486,260245750,1319359890,970315156,4840452,317955153,613881220,529639986,446032714,377325521,55655,10294,9922,10645,12505,11122,11461,5606,4688,40,71,41452,5822,17042,1522,28448,21813,220,8409,14220,11789,8951,6675
2025,11110,종로구,11110530,사직동,CS100003,일식음식점,외식/F&B,3857678331,62130,3258902705,598775626,568921806,605256626,757710073,669705499,657308701,370898265,227877361,11426901,7288971,1277689998,179925283,1723801378,657545800,1343217465,1102920615,14578476,398896688,698261047,495302877,458311125,380787870,52126,10004,9099,10322,11722,10470,10513,5574,4430,74,276,34127,4125,19714,3814,23792,24585,555,9984,14775,10269,7093,5706
2025,11110,종로구,11110530,사직동,CS100004,양식음식점,외식/F&B,6373966074,109594,5194662164,1179303910,999553412,878696840,1120712782,1133317855,1062381275,740808075,438495835,12945035,81090682,2444469068,621783462,2380940805,832737022,1898508819,2277760357,20005825,782437528,1280882687,855198768,687635011,550109358,91631,17963,16738,16527,21108,18352,18906,10615,7348,139,7664,53542,12172,30357,5720,38017,52506,456,18667,31445,18769,13391,7794
2025,11110,종로구,11110530,사직동,CS100005,제과점,외식/F&B,2363064699,187695,1667794511,695270188,289654169,298596629,401245657,330275779,348022277,370877825,324392363,6558399,361934170,573958405,572531321,758415272,89667132,760013553,1404015865,25336724,461380996,530760512,378834989,408994732,358721457,134000,53695,22804,24942,31322,27164,27768,27693,26002,110,36464,43661,45999,54539,6922,62741,117416,2975,39612,44976,31214,32367,29006
2025,11110,종로구,11110530,사직동,CS100006,패스트푸드점,외식/F&B,919190111,61973,717347831,201842280,135889729,138323187,150521499,150470061,142143355,106279726,95562554,0,129822882,405918849,207068945,167004817,9374618,273034740,473943100,3591472,115769577,229769257,160792814,127757890,109296831,49070,12903,8641,9489,10523,10516,9901,6960,5943,0,9832,27902,12899,11184,156,21035,35766,382,10321,18446,11966,9373,6315
2025,11110,종로구,11110530,사직동,CS100007,치킨전문점,외식/F&B,328558565,6248,267057636,61500929,58335170,44291290,52850779,50885845,60694552,43116313,18384616,6091265,1540697,18565405,4182557,107527350,190651291,166271115,84494375,1036064,25466755,63025432,55040236,72997641,33199363,5146,1102,902,898,1163,993,1190,776,326,79,13,951,92,2284,2829,3248,2059,27,697,1366,1158,1298,762
2025,11110,종로구,11110530,사직동,CS100008,분식전문점,외식/F&B,3231838453,270441,2495423353,736415100,415675145,484293062,592476078,493762537,509216531,389902685,346512415,8128729,476571534,1271270661,562449609,797391304,116026616,1165694288,1557609971,23861652,413918743,782666662,725410285,506480384,270966527,215294,55147,35151,41978,48295,43805,46065,29845,25302,646,43868,106598,47751,65053,6525,103351,150176,2314,41037,71883,61720,50052,26528
2025,11110,종로구,11110530,사직동,CS100009,호프-간이주점,외식/F&B,6569314666,146851,4838906461,1730408205,712118562,1003696038,918531512,958953696,1245606653,1054205547,676202658,921172285,83119784,619143870,497243021,1582894777,2865740929,3205169327,2204541985,24828448,945081650,1396389399,1434796036,1030315861,578299924,104925,41926,16626,18620,23786,21529,24364,23390,18536,8220,8759,35724,24636,35436,34076,62742,70585,876,27833,40422,25296,24671,14225
2025,11110,종로구,11110530,사직동,CS100010,커피-음료,외식/F&B,12509194587,1193317,9429448844,3079745743,1480112649,1728667644,2139286321,1989060864,2092321366,1727268589,1352477154,61127834,1695888917,4823135031,3435185810,2077846834,416010161,4000947085,6809748121,80682173,2569374652,3414194557,2204048908,1638141483,904253441,949241,244076,167589,182849,211971,192908,193924,134506,109570,470,274314,469093,278358,157255,13827,441878,664615,9238,252648,361581,235308,171562,76144
2025,11110,종로구,11110530,사직동,CS200001,일반교습학원,교육,1081060050,3604,675789002,405271048,131476557,162197218,157262801,83206769,141645657,276996285,128274763,6510519,72549823,129721201,338282872,454363956,79631679,466700161,614359889,0,5920230,7791605,643490850,380908634,42948731,2324,1280,363,378,602,275,706,911,369,7,358,548,1306,1217,168,1284,2320,0,797,42,1726,873,166
2025,11110,종로구,11110530,사직동,CS200003,예술학원,교육,298340887,967,238248217,60092670,44682933,44049208,70824175,46171243,32520658,36807966,23284704,0,0,60453504,83420564,144803671,9663148,85053662,213287225,0,42497888,69951749,130520085,34634554,20736611,802,165,111,188,242,135,126,124,41,0,0,215,289,400,63,328,639,0,77,199,469,142,80
2025,11110,종로구,11110530,사직동,CS200005,스포츠 강습,교육,662286319,1150,635967092,26319227,111544806,129236740,148594707,88421516,158169323,15990140,10329087,0,47888550,135184493,82387748,336061250,60764278,126151715,452038814,0,72261922,157179073,122202387,176571021,49976124,1024,126,178,186,237,194,229,52,74,0,73,364,104,517,92,269,818,0,101,213,410,246,117
2025,11110,종로구,11110530,사직동,CS200006,일반의원,의료/건강,2393101273,61569,2160183834,232917439,466778729,429059010,402124383,341458233,520763479,213917877,18999562,0,374541382,830120258,820770739,363006566,4662328,945747058,1317102442,3807944,185914560,588577341,541401391,467010905,476137358,57593,3976,13110,11365,12722,9384,11012,3660,316,0,14458,19924,19822,7357,8,26339,35105,172,6855,16266,12970,11467,13714
2025,11110,종로구,11110530,사직동,CS200007,치과의원,의료/건강,1276063157,10791,1157897633,118165524,260365180,244981724,209159879,118616410,324774440,118165524,0,0,162264427,474660270,497754644,141383816,0,726135297,547030317,29860,63921745,236594413,201605618,356973457,414040521,9996,795,2449,2034,2124,1146,2243,795,0,0,1801,3843,4190,957,0,5893,4883,10,510,1544,2210,2550,3953
2025,11110,종로구,11110530,사직동,CS200008,한의원,의료/건강,587293880,23941,563452467,23841413,118518036,104288500,133790085,85821450,121034396,23841413,0,0,106373527,213071399,160602267,107246687,0,138343869,440162158,57789,16631459,76943231,170006491,109385861,205481196,22947,994,6082,3770,4278,4298,4519,994,0,0,3726,9228,7065,3922,0,7471,16456,14,900,2813,5180,5089,9930
