기준_년도,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,카테고리,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
2025,11110,종로구,11110515,청운효자동,교육,213332415,789,206719224,6613191,61184457,53430606,66815054,7964258,17324849,0,6613191,0,0,6192469,30705241,168441948,7992757,42034230,171298185,0,2610402,5495584,171378771,33847658,0,745,44,201,171,222,60,91,0,44,0,0,16,116,621,36,255,534,0,13,27,554,195,0
2025,11110,종로구,11110515,청운효자동,생활/홈인테리어,513739846,17118,363585914,150153932,42641865,80649319,104637526,61323582,74333622,91310361,58843571,0,60552839,178384919,184257071,90545017,0,182764993,200135016,1684504,80268371,94315745,51243526,80547047,74840813,12748,4370,1662,2359,2182,3186,3359,2605,1765,0,3073,5285,6057,2703,0,7649,6424,77,2109,3865,2149,2206,3662
2025,11110,종로구,11110515,청운효자동,생활서비스,109324562,4217,95858203,13466359,19608296,13485615,34486547,11018373,17259372,13466359,0,0,10481220,47793270,32653193,18396879,0,37260054,49876286,0,3222273,12001912,19686097,22824447,29401613,3605,612,749,765,1004,477,610,612,0,0,501,1243,1677,796,0,1809,2060,0,117,635,893,960,1263
2025,11110,종로구,11110515,청운효자동,식품/식재료,4382926216,384976,3161683004,1221243212,559708655,631282376,734394675,608719297,627578001,738198224,483044988,41294513,616859625,980539808,1150349608,1300301179,293581483,1899344791,2162039768,91459885,273917613,667907921,828912381,897187574,1301999189,276041,108935,51454,49613,61299,55277,58398,59564,49371,5493,60674,77154,91913,115154,34588,198558,171044,6726,33775,78843,69862,86729,93666
2025,11110,종로구,11110515,청운효자동,외식/F&B,13255170532,592035,8946816803,4308353729,1305555428,1497728836,2041773057,1921605911,2180153571,2518228107,1790125622,134215574,603337346,4532215717,3183881163,3737027826,1064492906,4598000114,6810867635,101190244,2875051422,3311042191,1780260456,2014415836,1326907635,396832,195203,59658,73312,92158,83008,88696,108934,86269,1107,60713,221173,181129,117920,9993,208644,349225,6759,143135,162609,94341,99750,51274
2025,11110,종로구,11110515,청운효자동,의료/건강,1680524409,111856,1422517225,258007184,317333192,269176597,226796747,255454823,353755866,252195129,5812055,0,385657625,473675722,562019516,259171546,0,687909864,917335868,8845228,53685766,225988544,410167319,313826767,592732109,96491,15365,22221,19618,16575,17639,20438,15072,293,0,25072,29871,35763,21150,0,46387,64675,1093,5786,19114,29955,21391,33723
2025,11110,종로구,11110515,청운효자동,자동차/이동수단,223859039,1892,183196642,40662397,23776067,49398536,29676135,36121009,44224895,40662397,0,0,40537008,75504972,61672874,46144185,0,106386434,36782402,0,1449784,14313418,32147497,56653036,38605099,1619,273,334,409,337,222,317,273,0,0,396,621,592,283,0,911,452,0,12,167,278,515,389
2025,11110,종로구,11110515,청운효자동,패션/뷰티,1298717781,16706,814192046,484525735,55711440,103914034,175752580,203824219,274989773,255708516,228817219,0,13859347,244492400,605842589,419708424,14815021,364493650,903096281,5186225,147341805,371583119,267931041,308386588,167161153,10699,6007,1217,1348,2676,2569,2889,3311,2696,0,562,3931,7304,4831,78,6487,10008,212,2063,3543,3507,4244,2921
2025,11110,종로구,11110530,사직동,교육,2041687256,5721,1550004311,491682945,287704296,335483166,376681683,217799528,332335638,329794391,161888554,6510519,120438373,325359198,504091184,935228877,150059105,677905538,1279685928,0,120680040,234922427,896213322,592114209,113661466,4150,1571,652,752,1081,604,1061,1087,484,7,431,1127,1699,2134,323,1881,3777,0,975,454,2605,1261,363
2025,11110,종로구,11110530,사직동,생활/홈인테리어,317271465,6691,271658758,45612707,56148366,44971779,74514694,42019293,54004626,25704740,19907967,660801,40635725,89406434,105553842,80353862,660801,103685450,145852158,441693,34806524,67800612,53020141,41426638,52041998,5391,1300,954,987,1267,832,1351,816,484,15,791,2129,1897,1837,22,2276,3724,29,1230,1698,1181,1017,841
