호선,역명,위도,경도
3+8,가락시장역,37.492686,127.11819
7,가산디지털단지역,37.480376,126.882704
9,가양역,37.561391,126.854456
2,강남역,37.497958,127.027539
7,강남구청역,37.517185,127.04122
5,강동역,37.53581,127.13249
8,강동구청역,37.530348,127.120461
2,강변역,37.535161,127.094684
5,강일역,37.557521,127.176018
5,개롱역,37.498097,127.134817
9,개화역,37.578608,126.798153
5,개화산역,37.572458,126.806838
5,거여역,37.493208,127.143983
2+7,건대입구역,37.540645,127.070167
3,경복궁역,37.575844,126.973576
3,경찰병원역,37.495754,127.124198
5,고덕역,37.555002,127.154214
6,고려대역,37.59034,127.03626
3+7+9,고속터미널역,37.50438333333333,127.00497133333333
5+6,공덕역,37.543798499999994,126.95136099999999
7,공릉역,37.625642,127.072969
9,공항시장역,37.563726,126.810678
5,광나루역,37.545301,127.103478
7,광명사거리역,37.47927,126.854854
5,광화문역,37.570545,126.976568
6,광흥창역,37.547464,126.931971
2+3,교대역,37.493508500000004,127.0142135
2,구로디지털단지역,37.485005,126.902626
9,구반포역,37.501364,126.987332
6,구산역,37.611223,126.917246
2,구의역,37.536857,127.085024
3,구파발역,37.636612,126.918827
9,국회의사당역,37.528105,126.917874
5+7,군자역,37.557126499999995,127.0795215
5,굽은다리역,37.545442,127.142844
3,금호역,37.548269,127.015785
5,길동역,37.538022,127.140085
4,길음역,37.604087,127.025353
5+9,김포공항역,37.562302,126.8011655
2+5,까치산역,37.53181,126.846706
2,낙성대역,37.47693,126.963783
7,남구로역,37.486181,126.887372
3,남부터미널역,37.48494,127.016289
7,남성역,37.484688,126.971108
8,남위례역,37.462839,127.139047
4,남태령역,37.464339,126.989081
8,남한산성입구역,37.451568,127.159845
7,내방역,37.48764,126.993541
9,노들역,37.512887,126.953222
9,노량진역,37.514219,126.942454
4+7,노원역,37.655376000000004,127.061869
3,녹번역,37.600882,126.935758
6,녹사평역,37.53469,126.98665
7,논현역,37.511108,127.021385
8,단대오거리역,37.445057,127.156735
5,답십리역,37.566833,127.05266
4,당고개역,37.66956,127.078404
2+9,당산역,37.534128499999994,126.902146
2+7,대림역,37.492705,126.89614499999999
3,대청역,37.493607,127.079526
3,대치역,37.494601,127.063449
6,대흥역,37.547732,126.942214
3,도곡역,37.491129,127.055694
2,도림천역,37.514759,126.882586
7,도봉산역,37.689131,127.046548
3,독립문역,37.574534,126.957902
6,독바위역,37.618413,126.933035
6,돌곶이역,37.610522,127.056419
1+4,동대문역,37.57131485,127.010393
2+4+5,동대문역사문화공원역,37.565120666666665,127.00736266666667
3,동대입구역,37.55816,127.005273
1+6,동묘앞역,37.57277,127.0160625
4,동작역,37.503567,126.980171
9,동작(현충원)역,37.502971,126.979306
5,둔촌동역,37.527787,127.136219
9,둔촌오륜역,37.519339,127.138619
9,등촌역,37.550632,126.865689
6,디지털미디어시티역,37.577005,126.898643
2,뚝섬역,37.54718,127.047413
7,뚝섬유원지역,37.531558,127.066714
5,마곡역,37.562182,126.82693
9,마곡나루역,37.567336,126.829497
7,마들역,37.664985,127.057701
5,마장역,37.566066,127.042921
5,마천역,37.494972,127.152784
5,마포역,37.539718,126.946043
6,마포구청역,37.563535,126.903326
6,망원역,37.556031,126.910129
3,매봉역,37.487114,127.046907
7,먹골역,37.610638,127.077719
7,면목역,37.588671,127.087503
4,명동역,37.561055,126.988271
5,명일역,37.551317,127.144002
8,모란역,37.433888,127.129921
5,목동역,37.526088,126.864296
8,몽촌토성역,37.517692,127.11274
3,무악재역,37.582658,126.950131
2,문래역,37.517993,126.894766
8,문정역,37.485931,127.122473
5,미사역,37.56329,127.192954
4,미아역,37.626435,127.026151
4,미아사거리역,37.613276,127.030083
7,반포역,37.508171,127.011717
5,발산역,37.562182,126.82693
2,방배역,37.481469,126.997627
5,방이역,37.508752,127.126054
5,방화역,37.577669,126.812822
6,버티고개역,37.547933,127.006948
7,보라매역,37.499916,126.920112
6,보문역,37.585293,127.019377
8,복정역,37.471016,127.126746
9,봉은사역,37.514219,127.060245
2,봉천역,37.482416,126.941896
6,봉화산역,37.617293,127.091375
3+6,불광역,37.6107365,126.9296735
7,사가정역,37.580912,127.088502
2+4,사당역,37.476549500000004,126.98168849999999
9,사평역,37.504206,127.015259
8,산성역,37.456886,127.149927
4+6,삼각지역,37.53531,126.973675
2,삼성역,37.508827,127.063203
9,삼성중앙역,37.513011,127.053282
9,삼전역,37.504531,127.087211
4,상계역,37.660576,127.073199
7,상도역,37.50279,126.947949
7,상봉역,37.595673,127.085708
6,상수역,37.547704,126.92292
2,상왕십리역,37.564504,127.028872
