기준_년도,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2025,11110,종로구,11110515,청운효자동,13494113,5649432,7844678,2534432,1795471,2106682,2371196,2062631,2623698,3013330,2735172,1965934,1955964,2271437,1552272,1903277,1910005,1959839,1954606,1943404,1937401,1885579
2025,11110,종로구,11110530,사직동,15893479,7203047,8690433,1419174,2462766,3204594,3291274,2679846,2835827,1846231,3304627,3113656,3144603,3179285,1305077,2302772,2356031,2457215,2453041,2432452,2068951,1823018
2025,11110,종로구,11110540,삼청동,3880648,1802750,2077899,439171,610058,674487,733807,634194,788936,620994,785731,757342,752751,644115,319716,542915,552366,567391,575248,572147,559491,511094
2025,11110,종로구,11110550,부암동,3493110,1528235,1964873,676266,440299,397690,542802,577518,858535,900602,750753,438358,424355,534457,444587,501803,505222,511433,504210,498545,485191,486706
2025,11110,종로구,11110560,평창동,3649299,1556119,2093180,688786,349705,378639,551665,640009,1040494,1058494,769393,387939,383516,557375,492584,516752,516004,514358,514703,511203,533682,542590
2025,11110,종로구,11110570,무악동,7494656,3303039,4191617,1392812,880858,907024,1162012,1183383,1968567,1760273,1602808,921128,944576,1297471,968401,1044329,1066411,1077329,1065447,1071641,1094715,1074785
2025,11110,종로구,11110580,교남동,16333746,7445411,8888334,3306801,1940510,2156911,2817374,2601314,3510831,4642413,3556971,1841597,1757999,2424203,2110564,2343267,2348175,2347690,2346929,2331438,2288396,2327847
2025,11110,종로구,11110600,가회동,4813701,2301694,2512008,700278,703705,862067,927872,770585,849196,735584,1054203,918366,938259,780746,386540,702638,723412,729602,738166,724780,622910,572194
2025,11110,종로구,11110615,종로1?2?3?4가동,55417341,29581798,25835544,2670881,10732335,11455850,10874075,9107716,10576483,5644257,10715206,11381322,11691812,11518120,4466621,8327658,8560739,8797908,8853184,8745685,6906958,5225205
2025,11110,종로구,11110630,종로5?6가동,20814322,10453415,10360907,1345604,3336714,3320755,3458769,3836161,5516321,3466816,4488425,3783147,3675671,3509814,1890445,3110777,3187376,3228306,3229914,3191238,2607166,2259548
2025,11110,종로구,11110640,이화동,18567393,8275958,10291435,1951255,4377600,3547411,3065595,2720080,2905447,3025637,3614825,3041113,3347020,3682851,1855945,2597074,2735723,2857257,2821840,2784222,2477412,2293862
2025,11110,종로구,11110650,혜화동,35461072,15543461,19917611,5452005,12792361,4288077,4080119,3979017,4869495,8433195,7071015,4536968,4580397,6444723,4394771,4898915,5007849,5094673,5091751,5086888,5193411,5087589
2025,11110,종로구,11110670,창신1동,11313886,5553819,5760066,620214,1718425,1676401,1903986,2129346,3265516,2689412,2341701,1586280,1563077,1815107,1318311,1664316,1662527,1665451,1664917,1632063,1506140,1518471
2025,11110,종로구,11110680,창신2동,18672212,9068305,9603907,1248646,2914051,2230710,2259513,3889905,6129385,5279778,3888772,2050635,2047382,2975860,2429784,2645241,2654143,2647465,2638911,2636573,2701895,2747980
2025,11110,종로구,11110690,창신3동,3537658,1653236,1884421,458565,463850,501982,547970,605807,959486,1048433,754899,363839,355296,533688,481507,499006,498499,501332,502725,491361,512362,532373
2025,11110,종로구,11110700,숭인1동,9082858,4373229,4709629,918317,1323945,1396211,1371871,1560305,2512210,2235987,1865018,1108642,1134472,1598044,1140699,1285891,1281158,1289182,1281359,1276784,1324229,1344251
2025,11110,종로구,11110710,숭인2동,21137047,10400042,10737003,1573957,4123344,3488824,3035548,3581593,5333779,5072804,4503347,2891970,2848765,3306587,2513574,2960356,2960999,2980651,2989900,2999812,3066454,3178870
2025,11140,중구,11140520,소공동,10284029,5134424,5149606,678016,1679650,2591938,2445307,1679616,1209501,688503,2360499,2434491,2386736,1881794,532003,1653747,1718397,1747570,1750204,1688747,952677,772687
2025,11140,중구,11140540,회현동,17500892,8229725,9271166,643096,2181032,3823279,3997045,3194884,3661553,1257870,3845630,4453517,4265771,2812812,865289,2772517,2874455,2899768,2907706,2837788,1860630,1348030
2025,11140,중구,11140550,명동,22698438,11044962,11653476,1491398,4584947,5264996,5183523,3440691,2732878,1548711,4976506,5148619,5149155,4510628,1364821,3551222,3640026,3726508,3721931,3633395,2382029,2043327
2025,11140,중구,11140570,필동,10343331,5393174,4950154,749840,2303220,1947495,1844739,1713883,1784157,1383649,2198070,1947013,1902321,1990091,922184,1584158,1646106,1690447,1687300,1646218,1116376,972724
2025,11140,중구,11140580,장충동,8259012,4073683,4185329,628517,2433407,1480818,1273358,1132362,1310556,1673181,1820020,1326154,1269036,1346838,823783,1216141,1238477,1254379,1256555,1213461,1049721,1030277
2025,11140,중구,11140590,광희동,26186688,13051156,13135532,1669933,5690729,5544052,4791589,3992944,4497439,3854861,5380294,4542048,4602873,5126548,2680062,3948731,4033417,4122810,4149506,4055453,3102777,2773994
2025,11140,중구,11140605,을지로동,19256320,10793136,8463184,706255,3106993,3913298,3937454,3620546,3971774,1728768,4198619,4016322,3983121,3831663,1497826,3029920,3124341,3209555,3215894,3238068,1976504,1462041
