기준_년도,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
2025,11110,종로구,11110515,청운효자동,CS100001,한식음식점,15196606893,426964,11115686243,4080920650,2155076340,1895545993,2235516263,2314263333,2515284314,2626904757,1454015893,147553543,190904037,6257318229,1902382505,5127505107,1570943472,6568150917,5238131185,36603494,1517912860,2853736328,2188940811,2724564263,2484524348,310560,116404,61287,53725,63624,64246,67678,70871,45533,1100,8141,224453,70932,109224,13114,201518,178055,2103,56173,91905,75712,82721,70935
2025,11110,종로구,11110515,청운효자동,CS100003,일식음식점,1341035524,50788,917015836,424019688,91879962,198810064,186358951,210646584,229320275,254262935,169756753,35483222,592324,589169276,186500518,333316750,195973434,548827579,677481140,19725476,317841870,415369353,215059394,172983065,85329568,37440,13348,3507,8389,8245,8765,8534,7608,5740,270,27,30399,8955,9435,1702,20979,26545,1363,11434,13362,8681,8384,4307
2025,11110,종로구,11110515,청운효자동,CS100004,양식음식점,9837065841,181556,6259904255,3577161586,659229371,1063850614,1256732113,1458261684,1821830473,2191286006,1385875580,34828330,147918358,2766711688,1812714419,3857577542,1217315504,3246503350,5231739938,32827129,1917114422,3074591871,1470153601,1252238582,731317691,112359,69197,14109,21315,23770,24467,28698,38885,30312,310,9809,61829,43255,57838,8515,55530,114168,1122,42802,56073,30308,26354,13029
2025,11110,종로구,11110515,청운효자동,CS100005,제과점,2020944159,138482,1279987052,740957107,197136225,227974750,288985121,270017589,295873367,407301610,333655497,39156,126408297,566518790,665416600,600405309,62156007,668150225,1113257765,7486700,255007579,439800167,373965756,421937258,283210532,85399,53083,13601,16048,18187,17679,19884,28146,24937,5,10752,38119,50228,37748,1630,48417,85167,1044,22770,34512,26954,28639,19661
2025,11110,종로구,11110515,청운효자동,CS100007,치킨전문점,504438404,14636,329847793,174590611,29576310,67119282,64669221,76211439,92271541,94955805,79634806,4974262,87318,34097381,53258665,295471734,116549044,245725470,202226739,2955193,46492983,104005608,89276194,126577858,78644369,9612,5024,878,1965,1942,2011,2816,2720,2304,109,5,1228,1698,8969,2627,7449,6261,130,1661,3078,2748,3677,2429
2025,11110,종로구,11110515,청운효자동,CS100008,분식전문점,1531908644,112939,1057061575,474847069,208041405,187583085,193267041,240555637,227614407,244200718,230646351,0,103049418,633247878,441253154,349627374,4730820,442695475,850956274,13583535,299573639,402687050,238891740,222475413,116440374,77598,35341,13288,14877,16193,16117,17123,17501,17840,0,5784,53742,26208,26998,207,35008,73264,1296,26553,35068,19063,17230,9064
2025,11110,종로구,11110515,청운효자동,CS100009,호프-간이주점,601579343,13818,368905429,232673914,32949532,68463685,67885207,84904829,114702176,135556604,97117310,75649339,1646780,26003908,28429444,148001725,321848147,255782024,301370133,3275956,152066463,204010989,74239626,76748250,46810874,9200,4618,1173,1859,1694,1995,2479,2721,1897,952,233,2734,1734,3037,5128,5626,7489,69,3203,4527,1977,2244,1086
2025,11110,종로구,11110515,청운효자동,CS100010,커피-음료,18058398153,1293063,11561055075,6497343078,2580850523,2023475322,2243745474,2241922804,2471060952,3312374906,3184968172,8336616,1718953026,5902689530,6316674107,3805763515,305981359,6033352759,11064761655,109697006,4579426920,5128780411,2545941430,3215173953,1519094707,864987,428076,152806,166766,178754,178103,188558,226399,201677,235,207873,427747,438772,213847,4589,428767,814277,8476,308401,400874,210887,219391,95016
2025,11110,종로구,11110515,청운효자동,CS200001,일반교습학원,892599923,5633,722761954,169837969,308469768,91173609,235881119,29744769,57492689,125589557,44248412,0,36846503,55487151,232996296,440202473,127067500,238166876,569784206,525262,42034417,24861123,572746071,165189188,2595021,4119,1514,721,208,1370,895,925,807,707,0,483,1639,1881,1467,163,1280,4220,34,1770,1076,1903,606,112
2025,11110,종로구,11110515,청운효자동,CS200005,스포츠 강습,375099282,1544,372351490,2747792,116827987,55044954,90435259,25060370,84982920,0,2747792,0,0,10802986,80706856,269862687,13726753,118679277,256420005,0,2610402,5495584,287519775,71829471,7644050,1516,28,417,255,295,97,452,0,28,0,0,41,301,1146,56,550,994,0,13,27,1094,368,42
2025,11110,종로구,11110515,청운효자동,CS200006,일반의원,2203581019,176460,1852152328,351428691,414488771,340899050,299408626,367864399,429491482,351428691,0,0,643555541,645814248,628725591,285485639,0,928365805,1275215214,15404818,76245994,303597096,629576074,445879423,732877614,153438,23022,36670,29628,25476,30621,31043,23022,0,0,47194,46150,53269,29847,0,73895,102565,1846,6498,30359,50595,33940,53222
